編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXOMLTKJIKFFAH98CA,9,20.96,共有部份,鋼筋混凝土造,95年11月10日,六層,
RPXOMLTKJIKFFAH98CA,9,53.89,見其他登記事項,鋼筋混凝土造,95年11月10日,六層,一層
RPXOMLTKJIKFFAH98CA,9,21.57,共有部份,鋼筋混凝土造,95年11月10日,六層,
RPVRMLQLJIKFFAH88CA,43,103.77,住家用,加強磚造,62年2月5日,一層,一層 騎樓
RPVRMLQLJIKFFAH88CA,43,120.25,住家用,加強磚造,62年2月5日,一層,一層 騎樓
RPVRMLQLJIKFFAH88CA,35,195.48,住家用,加強磚造,70年3月16日,二層,二層
RPTPMLLJKIKFFAH87CA,35,69.92,住家用,鋼筋混凝土造,70年3月19日,五層,三層
RPWPMLOJJIKFFBH48CA,,126.90,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,三層
RPWPMLOJJIKFFBH48CA,,41.03,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,
RPWPMLOJJIKFFBH48CA,,62.22,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,
RPWPMLOJJIKFFBH48CA,,22.95,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,
RPXPMLOJJIKFFBH58CA,1,102.48,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,八層
RPXPMLOJJIKFFBH58CA,1,33.07,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,
RPXPMLOJJIKFFBH58CA,1,31.11,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,
RPXPMLOJJIKFFBH58CA,1,18.36,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,
RPOQMLOJJIKFFBH77CA,,129.06,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,十層
RPOQMLOJJIKFFBH77CA,,41.45,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,
RPOQMLOJJIKFFBH77CA,,62.22,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,
RPOQMLOJJIKFFBH77CA,,22.95,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,
RPPQMLOJJIKFFBH87CA,,129.06,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,十二層
RPPQMLOJJIKFFBH87CA,,41.45,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,
RPPQMLOJJIKFFBH87CA,,62.22,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,
RPPQMLOJJIKFFBH87CA,,22.95,見其他登記事項,鋼筋混凝土造,104年4月8日,十五層,
RPWOMLQJJIKFFBH58CA,35,67.00,住家用,鋼筋混凝土造,69年8月29日,五層,五層
RPVOMLKKJIKFFBH97CA,16,260.43,住家用,鋼筋混凝土造,88年9月17日,十五層,十二層
RPVOMLKKJIKFFBH97CA,16,32.58,共有部分,鋼筋混凝土造,88年9月17日,十五層,
RPVOMLKKJIKFFBH97CA,16,9.82,共有部分,鋼筋混凝土造,88年9月17日,十五層,
RPVOMLKKJIKFFBH97CA,16,12.91,共有部分,鋼筋混凝土造,88年9月17日,十五層,
RPVOMLKKJIKFFBH97CA,16,74.35,共有部分,鋼筋混凝土造,88年9月17日,十五層,
RPPPMLKKJIKFFBH47CA,7,104.42,住家用,鋼筋混凝土造,97年4月29日,十三層,四層
RPPPMLKKJIKFFBH47CA,7,64.50,共有部分,鋼筋混凝土造,97年4月29日,十三層,
RPXQMLKKJIKFFBH38CA,23,98.45,住家用,鋼筋混凝土造,81年6月26日,八層,八層
RPXQMLKKJIKFFBH38CA,23,14.58,共有部分,鋼筋混凝土造,81年6月26日,八層,
RPXQMLKKJIKFFBH38CA,23,4.67,共有部分,鋼筋混凝土造,81年6月26日,八層,
RPPNMLOKJIKFFBH67CA,24,171.80,住家用,鋼筋混凝土造,81年1月13日,四層,一層 二層 三層 四層
RPQNMLMKJIKFFBH57CA,23,75.23,住家用,鋼筋混凝土造,82年1月14日,七層,五層
RPQNMLMKJIKFFBH57CA,23,16.72,共有部分,鋼筋混凝土造,82年1月14日,七層,
RPPQMLTKJIKFFBH48CA,1,86.42,見其他登記事項,鋼筋混凝土造,104年1月18日,十五層,八層
RPPQMLTKJIKFFBH48CA,1,53.98,見其他登記事項,鋼筋混凝土造,104年1月18日,十五層,
RPPQMLTKJIKFFBH48CA,1,21.49,見其他登記事項,鋼筋混凝土造,104年1月18日,十五層,
RPRQMLTKJIKFFBH68CA,1,90.61,見其他登記事項,鋼筋混凝土造,104年1月18日,十五層,五層
RPRQMLTKJIKFFBH68CA,1,52.84,見其他登記事項,鋼筋混凝土造,104年1月18日,十五層,
RPRQMLTKJIKFFBH68CA,1,20.67,見其他登記事項,鋼筋混凝土造,104年1月18日,十五層,
RPSQMLTKJIKFFBH78CA,1,86.42,見其他登記事項,鋼筋混凝土造,104年1月18日,十五層,四層
RPSQMLTKJIKFFBH78CA,1,53.98,見其他登記事項,鋼筋混凝土造,104年1月18日,十五層,
RPSQMLTKJIKFFBH78CA,1,21.49,見其他登記事項,鋼筋混凝土造,104年1月18日,十五層,
RPOOMLKLJIKFFBH37CA,,210.95,見其他登記事項,鋼筋混凝土造,104年5月18日,四層,一層 二層 三層 四層
RPPOMLKLJIKFFBH47CA,,210.14,見其他登記事項,鋼筋混凝土造,104年5月18日,四層,一層 二層 三層 四層
